"consumption","SMI","unemployment_proxy","electricity","mobility","net_bankruptcies","air_pollution","c19_cases","stringency"
272341275.756761,10152.77,181327,133.045706315053,-10.6,121.58955040259,49.033333335,14.6747649003691,43.52
272357254.482141,10184.82,181428,133.150880186066,-10.2,123.14741311012,42.766666665,16.3507239823983,43.52
272395320.131169,10147.18,181499,133.244613463251,-9.6,124.706895628485,46.3,18.1237272749182,43.52
272467626.48425,9828.58,181176,133.32658652901,-17.2,126.258399846648,53,19.9912493017566,43.52
272586792.293678,9796.37,181376,133.397979311088,-8.6,127.797456964007,60.65,21.9513522140129,43.52
272762144.533497,9796.37,181591,133.460231716638,-8,129.325272339976,52.366666665,24.0025990378566,43.52
273007957.596123,9796.37,181813,133.514977067131,-15,130.848471588273,39.466666665,26.1447576642359,43.52
273342540.371018,9842.56,181965,133.562461763237,-9.6,132.360747795381,44.95,28.3760957241959,40.74
273764788.247184,10034.29,182032,133.600949838031,-8,133.842709200626,49.85,30.6934663730136,40.74
274270396.770786,10202.19,181949,133.629211096567,-11,135.282527968554,47.483333335,33.0940851563949,40.74
274851697.348964,10186.5,181915,133.64663078951,-10,136.669291992789,50.583333335,35.5741982734079,40.74
275498033.291783,10266.29,182110,133.653665248753,-10,137.995860914159,47.95,38.1285425146062,40.74
276196815.591971,10266.29,182229,133.65166277561,-6.2,139.259327444294,47.55,40.7500972507142,40.74
276938587.263228,10266.29,182284,133.642758584781,-3.8,140.460684708732,48.116666665,43.4317289982065,40.74
277717273.879694,10151.13,182503,133.627709968797,-9.2,141.586999900265,48.316666665,46.1654292638317,35.19
278507505.674482,10246.56,182494,133.604797146473,-7.6,142.611294143217,64.583333335,48.9401463814385,35.19
279279710.494919,10021.99,182544,133.572543530116,-8,143.515029861919,76.399999985,51.7458121419495,35.19
280000738.103463,10089.83,182424,133.529839272596,-6.2,144.28520835129,78.566666685,54.5711643216495,35.19
280636339.049823,10041.91,180818,133.476184342063,-7,144.914779403261,67.48333335,57.4061661156084,35.19
281163679.525198,10041.91,180688,133.411919638659,-4.6,145.40846428893,61.249999985,60.2401236024644,35.19
281575337.522682,10041.91,180832,133.338240116381,-6.4,145.773092801455,43.266666665,63.065802244244,35.19
281874539.566015,10060.46,180982,133.255113732034,-7.8,146.00095388756,42.65,65.8735434906134,35.19
282047474.929486,10045.3,180989,133.160394100018,-4.2,146.069759184694,56.716666665,68.6497822110146,35.22
282086388.691528,10089.67,180888,133.052470952133,-6.8,145.968220234916,55.566666665,71.3903659205403,35.22
281988659.931979,10187.56,180841,132.930474265918,-6.4,145.696241604366,40.33333333,74.0980771560621,35.22
281757352.404011,10125.84,180900,132.794635857396,-6.4,145.25983103716,40.65,76.7786594178598,35.34
281401390.729199,10125.84,181158,132.646415234644,-4.6,144.673826653254,52.33333333,79.4431463984974,35.34
280941143.811582,10125.84,181400,132.488088219494,-0.4,143.964540589501,42.55,82.1044939245971,35.34
280403984.132522,10253.38,181749,132.320571457283,-7.8,143.143817600089,43.25,84.7703135081412,35.34
279799631.992001,10207.96,181868,132.142551501407,-5.6,142.209105985146,53.366666665,87.4436062117199,35.34
279140743.308289,10178.41,181767,131.953582526717,-8.4,141.170039663041,57.86666667,90.1294960665722,35.34
278441533.969957,10143.38,181736,131.754102134251,-8.6,140.041431641542,56.166666665,92.835062743316,35.49
277716269.367244,10229.97,181908,131.545542000279,-10.4,138.842277924453,62.65,95.5680729629623,35.49
276979404.45619,10229.97,182124,131.330479629833,-7.6,137.595970372414,49.85,98.3367099402487,35.49
276250854.467603,10229.97,182396,131.112498283288,0.2,136.327716618272,55.533333315,101.150700082615,35.49
275556237.947142,10300.96,182774,130.894150015553,-8.8,135.048964697835,65.166666665,104.017036126509,35.49
274903467.77812,10259.5,183017,130.675793306523,-8.6,133.757529875252,72.05,106.937195738368,35.49
274297938.212655,10460.01,182919,130.458274716658,-11,132.453322518202,55.116666665,109.914254881018,35.49
273742212.678288,10433.43,182890,130.243273449457,-11,131.140577241373,40,112.953495797711,35.57
273237755.081939,10410.52,182880,130.033542219661,-11.6,129.823283327205,37.366666665,116.061509306212,35.68
272785346.251758,10410.52,183429,129.832913378522,-8.4,128.510816000413,59.099999985,119.244190874703,35.68
272389585.45019,10410.52,183612,129.645883339663,-0.6,127.214768157378,65.766666665,122.507329820438,35.68
272057036.176451,10470.92,183893,129.475494339697,-11.2,125.933881612882,71.466666665,125.852791041582,35.8
271776607.035417,10444.05,184061,129.322365301774,-10.8,124.654176704891,72.349999985,129.274388703321,35.8
271533833.725541,10439.04,184018,129.18725211641,-12.2,123.36928038321,67.083333335,132.766051691734,35.8
271311659.727575,10383.38,183989,129.071596218631,-11.8,122.080554179973,71.85,136.322581454029,35.8
271091149.4293,10214.21,184271,128.977524219282,-12.2,120.792322699275,60.266666665,139.937302832248,35.8
270852601.473522,10214.21,184615,128.907707795183,-9,119.512802489796,54.7,143.604208410285,35.8
